
   3.306D-08   0.0000033   0.0003251   0.0056637
   3.441D-08   0.0000034   0.0003384   0.0058811
   3.584D-08   0.0000036   0.0003524   0.0061086
   3.733D-08   0.0000037   0.000367    0.0063467
   3.890D-08   0.0000039   0.0003824   0.006596 
   4.055D-08   0.0000041   0.0003986   0.0068572
   4.229D-08   0.0000042   0.0004156   0.007131 
   4.412D-08   0.0000044   0.0004335   0.007418 
   4.604D-08   0.0000046   0.0004524   0.0077191
   4.807D-08   0.0000048   0.0004722   0.0080351
   5.021D-08   0.000005    0.0004932   0.0083668
   5.247D-08   0.0000052   0.0005153   0.0087153
   5.485D-08   0.0000055   0.0005386   0.0090814
   5.737D-08   0.0000057   0.0005632   0.0094664
   6.003D-08   0.000006    0.0005892   0.0098714
   6.284D-08   0.0000063   0.0006167   0.0102976
   6.582D-08   0.0000066   0.0006458   0.0107464
   6.897D-08   0.0000069   0.0006766   0.0112192
   7.231D-08   0.0000072   0.0007092   0.0117176
   7.585D-08   0.0000076   0.0007438   0.0122433
   7.962D-08   0.000008    0.0007805   0.012798 
   8.361D-08   0.0000084   0.0008195   0.0133838
   8.786D-08   0.0000088   0.0008609   0.0140027
   9.237D-08   0.0000092   0.000905    0.0146571
   9.718D-08   0.0000097   0.0009519   0.0153493
   0.0000001   0.0000102   0.0010019   0.0160821
   0.0000001   0.0000108   0.0010552   0.0168584
   0.0000001   0.0000114   0.0011121   0.0176812
   0.0000001   0.000012    0.0011728   0.0185541
   0.0000001   0.0000127   0.0012379   0.0194808
   0.0000001   0.0000134   0.0013075   0.0204652
   0.0000001   0.0000141   0.0013821   0.0215119
   0.0000001   0.000015    0.0014621   0.0226256
   0.0000002   0.0000158   0.0015481   0.0238115
   0.0000002   0.0000168   0.0016407   0.0250755
   0.0000002   0.0000178   0.0017403   0.0264238
   0.0000002   0.0000189   0.0018478   0.0278634
   0.0000002   0.0000201   0.0019638   0.0294018
   0.0000002   0.0000214   0.0020894   0.0310474
   0.0000002   0.0000228   0.0022254   0.0328093
   0.0000002   0.0000244   0.0023729   0.0346977
   0.0000003   0.000026    0.0025333   0.0367237
   0.0000003   0.0000278   0.0027079   0.0388996
   0.0000003   0.0000298   0.0028983   0.0412393
   0.0000003   0.000032    0.0031064   0.0437577
   0.0000003   0.0000343   0.0033343   0.0464717
   0.0000004   0.0000369   0.0035844   0.0494   
   0.0000004   0.0000398   0.0038594   0.0525634
   0.0000004   0.000043    0.0041627   0.0559852
   0.0000005   0.0000465   0.004498    0.0596911
   0.0000005   0.0000503   0.0048696   0.0637103
   0.0000005   0.0000547   0.0052827   0.0680752
   0.0000006   0.0000595   0.0057432   0.0728221
   0.0000006   0.0000649   0.0062584   0.077992 
   0.0000007   0.000071    0.0068366   0.0836308
   0.0000008   0.0000779   0.0074881   0.0897902
   0.0000009   0.0000857   0.0082251   0.0965286
   0.0000009   0.0000946   0.0090623   0.1039117
   0.000001    0.0001047   0.0100179   0.1120137
   0.0000012   0.0001165   0.011114    0.1209184
   0.0000013   0.00013     0.0123782   0.1307203
   0.0000015   0.0001458   0.0138448   0.1415262
   0.0000016   0.0001644   0.0155575   0.1534564
   0.0000019   0.0001864   0.0175716   0.1666461
   0.0000021   0.0002126   0.0199587   0.1812472
   0.0000024   0.0002442   0.0228125   0.1974293
   0.0000028   0.0002826   0.0262568   0.2153805
   0.0000033   0.0003301   0.0304584   0.2353085
   0.0000039   0.0003896   0.0356455   0.2574389
   0.0000047   0.0004652   0.0421354   0.2820139
   0.0000056   0.0005632   0.0503799   0.309287 
   0.0000069   0.0006934   0.0610352   0.3395146
   0.0000087   0.0008708   0.0750794   0.3729437
   0.0000112   0.0011211   0.0940087   0.4097911
   0.0000149   0.0014892   0.1201764   0.4502154
   0.0000207   0.0020606   0.157382    0.4942784
   0.0000303   0.0030145   0.2118751   0.5418945
   0.0000481   0.0047789   0.293874    0.5927702
   0.0000868   0.0085928   0.4187733   0.6463368
   0.000198    0.0193634   0.6022912   0.7016857
   0.0007947   0.0733      0.8293917   0.7575215
   0.8077239   0.9966134   0.9899296   0.8121548
   0.0008718   0.0806527   0.9431508   0.8635574
   0.0002189   0.0214858   0.7446208   0.909498 
   0.0000986   0.0097859   0.5418294   0.9477572
   0.0000564   0.005614    0.3912469   0.9763964
   0.0000367   0.0036604   0.2888422   0.9940248
   0.0000259   0.002589    0.2196537   0.9999992
   0.0000194   0.0019372   0.1719282   0.9945005
   0.0000151   0.0015106   0.1380714   0.9784707
   0.0000122   0.0012156   0.1133664   0.9534318
   0.00001     0.001003    0.0948648   0.9212435
   0.0000084   0.0008444   0.0806843   0.8838606
   0.0000072   0.0007228   0.0695916   0.8431353
   0.0000063   0.0006274   0.0607571   0.8006871
   0.0000055   0.0005512   0.0536093   0.7578395
   0.0000049   0.0004892   0.047745    0.7156087
   0.0000044   0.0004381   0.042874    0.6747283
   0.000004    0.0003955   0.0387832   0.6356907
   0.0000036   0.0003595   0.0353137   0.5987949
   0.0000033   0.0003288   0.0323451   0.5641921
   0.000003    0.0003024   0.0297848   0.5319254
   0.0000028   0.0002796   0.0275606   0.5019625
   0.0000026   0.0002597   0.0256156   0.474221 
   0.0000024   0.0002422   0.0239047   0.4485872
   0.0000023   0.0002267   0.0223914   0.4249303
   0.0000021   0.000213    0.0210462   0.403112 
   0.000002    0.0002008   0.0198449   0.382993 
   0.0000019   0.0001899   0.0187675   0.364438 
   0.0000018   0.00018     0.0177975   0.3473176
   0.0000017   0.0001711   0.0169209   0.3315107
   0.0000016   0.0001631   0.0161262   0.3169045
